,Date,ETVI 등급,ETVI 점수,ETF시장의 변동성,ETVI
0,2003-01-02,2(높음),51.04166465248484,6.617198864545889,46.45813952124776
1,2003-01-03,2(높음),38.449402898977716,8.160401188426485,52.27202556813665
2,2003-01-06,2(높음),58.16491127387671,5.827152536808133,41.66186881365189
3,2003-01-07,2(높음),39.19783035419301,5.174348308730439,36.974373469340854
4,2003-01-08,3(보통),25.500629834969228,3.3608705297673125,24.044841649900153
5,2003-01-09,3(보통),30.35651630992509,3.856091134570366,26.990929319810697
6,2003-01-10,3(보통),29.39175194039522,5.020737285559801,32.5822538207724
7,2003-01-13,3(보통),33.69868882771394,4.155277012743718,27.325313064097074
8,2003-01-14,3(보통),27.599519194998205,4.186320317674148,26.978229528364604
9,2003-01-15,3(보통),29.983803013598305,3.921407216442678,23.483132074438775
10,2003-01-16,3(보통),25.551571962620287,3.9210931500919637,21.338288344589362
11,2003-01-17,2(높음),42.26618155329236,7.978653016796313,48.92181490388213
12,2003-01-20,2(높음),42.841068606297426,6.058419860333752,39.582070213218046
13,2003-01-21,2(높음),54.35560911773864,6.339978192784575,56.064128648654794
14,2003-01-22,2(높음),50.39304382567489,5.119352088003949,37.62241424580684
15,2003-01-23,2(높음),56.137169601539874,7.492660606778867,47.663233035622234
16,2003-01-24,2(높음),54.44409298541466,8.351837127040659,56.116029197785494
17,2003-01-27,2(높음),57.017380858300996,6.494343218088112,40.14648741906533
18,2003-01-28,2(높음),37.353385826604246,7.632495227515338,51.988011271698234
19,2003-01-29,2(높음),51.44435190508399,6.680514024344705,55.252499609045394
20,2003-01-30,2(높음),58.43833987755776,7.131115007518367,52.40028544580534
21,2003-01-31,2(높음),43.808429080068734,4.832435742135334,34.87416897849308
22,2003-02-03,2(높음),37.36681191903798,7.034083372453694,52.286713392730626
23,2003-02-04,2(높음),50.219337831968836,6.83448897536356,46.53633728539513
24,2003-02-05,2(높음),50.340160943647604,6.146595012012314,40.873293745799295
25,2003-02-06,2(높음),41.54089002223383,9.495023129345359,58.72297232143812
26,2003-02-07,2(높음),46.94396825425197,8.302216039377923,54.593558211746036
27,2003-02-10,3(보통),25.773179619720814,3.6442306967042337,27.973177564877847
28,2003-02-11,3(보통),33.110980127801255,4.7317947052928755,26.698279125030588
29,2003-02-12,4(낮음),20.615679130935703,2.5576521846167526,17.217092829964617
30,2003-02-13,4(낮음),15.522942663228719,2.1507157993087227,17.50452757881492
31,2003-02-14,4(낮음),18.187208047570806,2.55332953118806,23.61980040940453
32,2003-02-17,5(매우낮음),6.791738645510108,1.3598777873881378,11.032059710723042
33,2003-02-18,5(매우낮음),10.891783220551819,1.7188257219919845,9.228087074729018
34,2003-02-19,5(매우낮음),5.9045133949088715,1.7101628405856986,11.649555800510855
35,2003-02-20,4(낮음),13.643919497312964,3.3720717161317992,20.955511223002407
36,2003-02-21,4(낮음),20.536227134066607,2.767472037599925,19.435091426600184
37,2003-02-24,4(낮음),13.622681191581552,2.2713165788865446,15.236837539724357
38,2003-02-25,4(낮음),21.271451600831007,2.639782079340722,17.383344498244885
39,2003-02-26,4(낮음),14.453827610925943,2.655509072377439,17.08424997262694
40,2003-02-27,4(낮음),15.844107916057329,2.003848182097736,15.712345554995851
41,2003-02-28,4(낮음),20.904236448989302,2.5057730691620668,18.628387818750827
42,2003-03-03,3(보통),23.72123699586943,2.8567883736646187,25.36878539131528
43,2003-03-04,3(보통),30.002970404285293,4.641616915332262,29.441632044513064
44,2003-03-05,3(보통),32.76591965448196,4.113134630373503,25.59380210640965
45,2003-03-06,3(보통),26.93779686032055,3.7049771986302416,32.991099213847306
46,2003-03-07,3(보통),24.90046141047813,3.2840433435707475,24.57500792878654
47,2003-03-10,3(보통),26.28713216854111,4.623936701416231,33.95423922010071
48,2003-03-11,3(보통),24.1209169316344,4.822512012547167,29.809266514847586
49,2003-03-12,3(보통),33.05865412860739,3.8921372393178344,26.224276225023978
50,2003-03-13,3(보통),27.54004371546666,3.5756816915812553,24.12085444383991
51,2003-03-14,3(보통),33.29773504951457,4.151370713641797,26.97212394247748
52,2003-03-17,3(보통),24.34843908393961,4.968382387686504,30.800894838996193
53,2003-03-18,3(보통),30.04058682496877,3.8286825109847045,23.92875294242074
54,2003-03-19,3(보통),25.042764979578223,4.1164470713228605,35.754955148679095
55,2003-03-20,3(보통),32.366450558693046,3.0559505569017182,26.06255933610746
56,2003-03-21,3(보통),31.825795037202546,4.28345872935692,25.502807491671504
57,2003-03-24,2(높음),39.720261038966626,9.63891657735399,63.84699709024843
58,2003-03-25,2(높음),46.15388215374295,6.701045855965051,43.19949838795174
59,2003-03-26,2(높음),35.63878186153046,8.337579973313769,53.67859222787387
60,2003-03-27,2(높음),48.74232839842331,7.7134958916369465,47.97483918590323
61,2003-03-28,2(높음),56.186483400372545,7.470476656238968,52.48684568234126
62,2003-03-31,2(높음),42.3820013505173,7.497188647100049,48.9279528293699
63,2003-04-01,3(보통),29.741242240940366,4.083416227983625,36.05068564007668
64,2003-04-02,3(보통),23.475167424619062,4.027159698792169,22.72344764343358
65,2003-04-03,3(보통),28.27006821377655,5.21390722626903,30.28143629448516
66,2003-04-04,3(보통),26.869735020675943,3.476180124508745,28.88402357843068
67,2003-04-07,3(보통),28.363473782102858,3.211576825879444,25.684499454804673
68,2003-04-08,3(보통),27.23876492765604,3.94092647501716,33.715019718074956
69,2003-04-09,3(보통),26.824595192867974,4.781041624997002,31.578551476309798
70,2003-04-10,3(보통),23.318502837046495,4.362128038166287,29.076996535436496
71,2003-04-11,3(보통),30.265868634620382,4.203624212548811,32.14166019770897
72,2003-04-14,3(보통),32.68784654974115,4.133194694515676,29.405288133938313
73,2003-04-15,3(보통),27.469202187721052,2.950920519182968,24.30854470028266
74,2003-04-16,3(보통),24.687634574413007,4.86409268491068,29.181426586073766
75,2003-04-17,3(보통),30.782960978191365,3.656480942430119,27.882121624757445
76,2003-04-18,3(보통),24.69170289070734,3.3588489760689804,24.3780180726616
77,2003-04-21,3(보통),25.793440861197766,4.95616302880934,30.23279555663024
78,2003-04-22,3(보통),30.11860515587344,4.994945980865233,34.10676863129267
79,2003-04-23,3(보통),32.568955435632446,4.4297112985385025,29.555212071457483
80,2003-04-24,3(보통),32.05681930682703,4.164962961699553,28.506569865155694
81,2003-04-25,3(보통),27.575677912390784,4.187620213353175,33.5479705031891
82,2003-04-28,3(보통),27.350351210122273,3.049287256718013,26.37878083527122
83,2003-04-29,3(보통),31.92222103028751,3.4948223236984566,30.991862630683514
84,2003-04-30,3(보통),32.67714607114866,3.495690564598494,28.479864813116098
85,2003-05-01,3(보통),28.645536035358923,3.994001353218852,26.291361952077978
86,2003-05-02,3(보통),33.254211474042656,4.054882080513669,24.86462781794983
87,2003-05-06,3(보통),33.900626959100556,3.3635074589013607,29.452695952509544
88,2003-05-07,3(보통),32.42550826057199,4.935403493254866,31.430871251204984
89,2003-05-08,3(보통),25.206799839329847,3.2799590684970563,24.311497973602734
90,2003-05-09,3(보통),32.1000041930699,3.086718438032825,23.113263007918608
91,2003-05-12,4(낮음),18.91831761925961,1.9770457322684005,14.861395465532242
92,2003-05-13,4(낮음),19.011926668667677,2.7785023016627473,19.98381862643947
93,2003-05-14,4(낮음),15.303957514706331,3.080366267676119,22.1238572254381
94,2003-05-15,4(낮음),18.985374374698072,2.2206277232254767,19.99007171089779
95,2003-05-16,4(낮음),15.730595769039013,2.4341439200938093,16.460761234822193
96,2003-05-19,4(낮음),16.91989346635777,2.817280103748324,16.81874160952492
97,2003-05-20,4(낮음),14.899408843574163,2.394787589712769,20.571640078854657
98,2003-05-21,5(매우낮음),10.026570432382742,1.5515888450834698,12.719640540200585
99,2003-05-22,5(매우낮음),11.905204380629618,0.9078712183219259,6.758718644644906
100,2003-05-23,5(매우낮음),10.379801708467792,1.0562594200318014,9.370323941686044
101,2003-05-26,5(매우낮음),5.170714602613364,1.0205262302486753,9.048927678319162
102,2003-05-27,5(매우낮음),10.162152157280044,1.772611874594347,12.34578451605898
103,2003-05-28,5(매우낮음),9.291190798165093,1.4263891926577343,9.14545871081602
104,2003-05-29,4(낮음),16.399477890263107,2.8356605761791736,17.943082941352458
105,2003-05-30,3(보통),33.76496383762782,3.8862698720443087,28.678213479826983
106,2003-06-02,3(보통),33.11947366227757,3.3686348237067736,26.92241191145818
107,2003-06-03,3(보통),28.802021439414172,4.095259754226144,31.28796401097365
108,2003-06-04,3(보통),24.13530564913718,3.370880900010925,29.59590985364056
109,2003-06-05,3(보통),26.802476992205712,3.7921157141776196,22.945074770511834
110,2003-06-09,3(보통),31.776864935067543,4.4664324494556364,24.906514410655625
111,2003-06-10,4(낮음),21.80353648274688,2.640804172922146,16.8013516177553
112,2003-06-11,4(낮음),17.563812173936327,2.4904478355496518,18.61531443490003
113,2003-06-12,4(낮음),13.033565862559866,2.95280135387317,18.641275794726916
114,2003-06-13,4(낮음),21.449511930346134,2.0320804068032565,13.910553967492707
115,2003-06-16,4(낮음),19.04023327500228,3.034033325887157,19.199177165714325
116,2003-06-17,4(낮음),13.694119983266054,2.2246867767708456,15.51360113753023
117,2003-06-18,4(낮음),14.732737651128351,3.1323067761195027,19.283220215150656
118,2003-06-19,4(낮음),19.26494672143082,2.6701671828197067,16.413665038937157
119,2003-06-20,4(낮음),20.22565276859638,2.195635467111212,14.672598482983968
120,2003-06-23,4(낮음),17.52458363449108,2.0634315604271865,13.730722435091312
121,2003-06-24,4(낮음),18.297649440533874,2.255592095652695,15.521920234907576
122,2003-06-25,4(낮음),18.525536389300164,3.223807546296459,19.42378231424594
123,2003-06-26,5(매우낮음),9.967663261501336,1.1649765516513404,9.202000236457062
124,2003-06-27,5(매우낮음),7.315036106897758,0.9402598102925632,8.427026881588903
125,2003-06-30,5(매우낮음),9.535504463236403,1.6601136515128838,10.421455562141231
